Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.960,0.981,0.982,0.992,0.992,0.997,0.0,0.0,0.0,0.0,0.0,0.0
10,0.487,0.635,0.669,0.816,0.898,0.937,83.3,73.3,66.7,28.9,11.1,4.8
11,0.469,0.616,0.646,0.803,0.890,0.933,83.3,73.3,68.9,35.6,11.1,4.8
12,0.454,0.598,0.627,0.792,0.882,0.928,83.3,73.3,73.3,46.7,14.3,6.3
13,0.441,0.582,0.609,0.780,0.872,0.922,83.3,76.7,80.0,48.9,17.5,7.9
14,0.429,0.568,0.594,0.768,0.860,0.918,83.3,80.0,82.2,51.1,17.5,11.1
15,0.418,0.555,0.580,0.758,0.854,0.915,83.3,80.0,84.4,57.8,17.5,12.7
16,0.408,0.544,0.566,0.749,0.847,0.911,83.3,80.0,86.7,57.8,17.5,12.7
17,0.399,0.524,0.554,0.740,0.841,0.908,83.3,83.3,86.7,60.0,20.6,12.7
18,0.381,0.513,0.541,0.731,0.833,0.904,86.7,83.3,86.7,60.0,25.4,12.7
19,0.374,0.504,0.524,0.723,0.827,0.901,90.0,83.3,88.9,60.0,25.4,15.9
2,0.865,0.924,0.940,0.972,0.979,0.993,6.7,0.0,0.0,0.0,1.6,0.0
20,0.367,0.495,0.514,0.716,0.821,0.898,90.0,83.3,88.9,60.0,28.6,17.5
21,0.361,0.487,0.505,0.712,0.816,0.897,90.0,83.3,86.7,62.2,30.2,17.5
22,0.356,0.480,0.496,0.705,0.808,0.894,90.0,86.7,88.9,62.2,34.9,20.6
23,0.351,0.473,0.488,0.698,0.802,0.892,90.0,86.7,88.9,62.2,36.5,20.6
24,0.346,0.466,0.480,0.683,0.797,0.891,90.0,86.7,91.1,64.4,36.5,19.0
25,0.341,0.453,0.472,0.677,0.788,0.891,90.0,86.7,91.1,66.7,39.7,19.0
26,0.337,0.447,0.465,0.670,0.786,0.888,90.0,86.7,93.3,66.7,41.3,20.6
27,0.328,0.442,0.458,0.661,0.780,0.886,90.0,86.7,95.6,66.7,41.3,20.6
28,0.325,0.440,0.452,0.649,0.773,0.884,90.0,86.7,95.6,66.7,41.3,20.6
29,0.321,0.435,0.445,0.644,0.765,0.882,90.0,86.7,95.6,66.7,44.4,20.6
3,0.787,0.870,0.895,0.945,0.969,0.983,36.7,6.7,0.0,0.0,1.6,0.0
30,0.318,0.429,0.439,0.639,0.761,0.880,90.0,86.7,95.6,66.7,44.4,22.2
31,0.316,0.422,0.434,0.634,0.759,0.877,90.0,90.0,95.6,66.7,44.4,22.2
32,0.313,0.418,0.428,0.629,0.753,0.875,90.0,90.0,95.6,66.7,47.6,23.8
33,0.310,0.414,0.423,0.624,0.745,0.873,90.0,90.0,95.6,66.7,47.6,25.4
34,0.308,0.410,0.419,0.619,0.742,0.872,90.0,90.0,95.6,66.7,49.2,25.4
35,0.306,0.407,0.415,0.613,0.738,0.867,90.0,90.0,95.6,66.7,49.2,27.0
36,0.303,0.403,0.410,0.608,0.735,0.866,90.0,90.0,95.6,68.9,49.2,27.0
37,0.301,0.401,0.410,0.604,0.732,0.864,90.0,90.0,93.3,68.9,49.2,27.0
38,0.299,0.398,0.405,0.601,0.729,0.862,90.0,90.0,93.3,68.9,49.2,27.0
39,0.297,0.396,0.402,0.599,0.726,0.861,90.0,90.0,93.3,71.1,52.4,27.0
4,0.706,0.818,0.856,0.923,0.959,0.974,56.7,30.0,11.1,0.0,1.6,0.0
40,0.295,0.393,0.398,0.595,0.723,0.859,90.0,90.0,93.3,71.1,52.4,27.0
41,0.293,0.390,0.395,0.592,0.720,0.858,90.0,90.0,93.3,71.1,52.4,27.0
42,0.292,0.388,0.391,0.588,0.717,0.856,90.0,90.0,93.3,77.8,55.6,27.0
43,0.290,0.385,0.388,0.581,0.715,0.855,90.0,90.0,93.3,80.0,55.6,27.0
44,0.289,0.384,0.384,0.577,0.712,0.854,90.0,90.0,93.3,80.0,55.6,27.0
45,0.287,0.383,0.381,0.574,0.710,0.852,90.0,90.0,93.3,80.0,55.6,27.0
46,0.286,0.380,0.378,0.571,0.699,0.851,90.0,90.0,93.3,80.0,57.1,27.0
47,0.284,0.378,0.375,0.569,0.696,0.850,90.0,90.0,93.3,80.0,57.1,27.0
48,0.283,0.376,0.373,0.566,0.694,0.848,90.0,90.0,93.3,80.0,57.1,27.0
49,0.282,0.374,0.370,0.563,0.691,0.849,90.0,90.0,93.3,80.0,57.1,25.4
5,0.651,0.780,0.821,0.898,0.951,0.965,76.7,46.7,28.9,4.4,3.2,0.0
50,0.281,0.373,0.368,0.561,0.688,0.848,90.0,90.0,95.6,80.0,57.1,25.4
6,0.611,0.745,0.785,0.878,0.940,0.958,83.3,53.3,40.0,6.7,4.8,0.0
7,0.557,0.709,0.755,0.861,0.928,0.952,83.3,60.0,44.4,11.1,4.8,0.0
8,0.530,0.680,0.727,0.846,0.918,0.946,83.3,63.3,55.6,13.3,6.3,0.0
9,0.507,0.656,0.699,0.830,0.906,0.942,83.3,66.7,55.6,17.8,7.9,0.0
